TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
CORTEVA AGRISCIENCE LLC - MIDLAND,4867WDWGRS71WAS,2024,26111290600,"30,090",74,14,85,0,68,48640,701 WASHINGTON ST,"MIDLAND, MI","MIDLAND, MI",43.60532757,-84.21757491,Manganese compounds (N450),325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,CORTEVA INC,"240,955.00",0.00,0.00,0.00,"240,955.00","240,955.00","2,891,460,000",0
FCA US WARREN TRUCK ASSEMBLY PLANT,48091WRRNT21500,2024,26099982200,"130,932",0,0,0,0,93,48091,21500 MOUND RD,"WARREN, MI","MACOMB, MI",42.45531342,-83.04419136,Xylene (mixed isomers) (1330-20-7),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,FCA US LLC,"226,417.71","226,417.71",0.00,0.00,0.00,"356,476.21","7,924,620",0
PACKAGING CORP OF AMERICA,49634PCKGN2245U,2024,26101000700,"8,480",42,83,67,0,64,49634,2246 UDELL ST,"FILER CITY, MI","MANISTEE, MI",44.247547,-86.318539,Methanol (67-56-1),322 Paper,322120 Paper Mills,PACKAGING CORP OF AMERICA,"224,267.20","223,210.60",997.90,0.00,58.70,"1,187,280.10","41,235",0
LG ENERGY SOLUTION MICHIGAN INC.,4942WLGCHM1LGWA,2024,26005032401,"25,102",81,35,51,73,72,49423,1 LG WAY,"HOLLAND, MI","ALLEGAN, MI",42.75548554,-86.06953225,Nickel compounds (N495),335 Electrical Equipment,335910 Battery Manufacturing,LG ENERGY SOLUTION MICHIGAN INC,"220,183.22",0.22,0.00,0.00,"220,183.00","220,183.22","204,770,394,600",0
ZFS ITHACA LLC,4884WZFSTH1266E,2024,26057000900,"3,619",54,48,35,0,38,48847,1266 E WASHINGTON RD,"ITHACA, MI","GRATIOT, MI",43.29159905,-84.5770181,n-Hexane (110-54-3),311 Food,311224 Soybean and Other Oilseed Processing,NA,"207,648.74","207,641.00",0.00,0.00,7.74,"1,210,500,829.48","1,038,337",0
CENTURY SUN METAL TREATING,49684CNTRY2411A,2024,26055551100,"20,856",19,56,37,66,59,49686,2411 W AERO PARK CT,"TRAVERSE CITY, MI","GRAND TRAVERSE, MI",44.74493244,-85.57460013,Barium compounds (N040),332 Fabricated Metals,332811 Metal Heat Treating,CENTURY LLC,"197,340.37","1,372.80",0.00,0.00,"195,967.57","197,340.37","1,381,381,401",0
CLEVELAND-CLIFFS STEEL CORP DEARBORN WORKS,48121RGSTL3001M,2024,26163985700,"119,381",0,0,0,0,0,48120,4001 MILLER RD,"DEARBORN, MI","WAYNE, MI",42.31635335,-83.1621121,Chromium compounds (N090),331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,CLEVELAND-CLIFFS INC,"190,821.70",231.00,120.00,0.00,"190,470.70","192,728.32","366,148,236,000",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Cadmium compounds (N078),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"188,934.49",1.49,0.00,"188,933.00",0.00,"188,934.49","387,402,000",0
EES COKE BATTERY LLC,48218SCKBT14ZUG,2024,26163985600,"69,556",0,0,0,0,0,48218,1400 ZUG ISLAND,"RIVER ROUGE, MI","WAYNE, MI",42.28876642,-83.11282517,Sulfuric acid (acid aerosols) (7664-93-9),324 Petroleum Products,324199 All Other Petroleum and Coal Products Manufacturing,DTE ENERGY CO,"180,000.00","180,000.00",0.00,0.00,0.00,"180,000.00","630,000,000",0
FORD MOTOR CO DEARBORN TRUCK PLANT,48121FRDM23001M,2024,26163985700,"123,088",0,0,0,0,0,48120,3001 MILLER RD,"DEARBORN, MI","WAYNE, MI",42.30886967,-83.15678743,Certain glycol ethers (N230),336 Transportation Equipment,336110 Automobile and Light Duty Motor Vehicle Manufacturing,FORD MOTOR CO,"171,200.00","171,000.00",0.00,0.00,200.00,"238,190.00","30,820,000",0
